context,question,text,original_index
"General gymnastics enables people of all ages and abilities to participate in performance groups of 6 to more than 150 athletes. They perform synchronized, choreographed routines. Troupes may consist of both genders and are not separated into age divisions. The largest general gymnastics exhibition is the quadrennial World Gymnaestrada which was first held in 1939. In 1984 Gymnastics for All was officially recognized first as a Sport Program by the FIG (International Gymnastic Federation), and subsequently by national gymnastic federations worldwide with participants that now number 30 million.",When was the first World Gymnaestrada held?,1939,16624
"In June 1718 Blackbeard, aka Edward Teach, ran his flagship, the Queen Anne's Revenge, aground at Beaufort Inlet, North Carolina, in present-day Carteret County. After the grounding her crew and supplies were transferred to smaller ships. In 1996 Intersal, Inc., a private firm, discovered the remains of a vessel likely to be the Queen Anne's Revenge, which was added to the US National Register of Historic Places. In November, after losing his ship and appealing to the governor of North Carolina who promised safe-haven and a pardon, the notorious pirate, Blackbeard (Edward Teach) was killed in an ambush by troops from Virginia.",Where in North Carolina did Blackbeards ship crash?,Beaufort Inlet,16625
"The year used in dates during the Roman Republic and the Roman Empire was the consular year, which began on the day when consuls first entered office—probably 1 May before 222 BC, 15 March from 222 BC and 1 January from 153 BC. The Julian calendar, which began in 45 BC, continued to use 1 January as the first day of the new year. Even though the year used for dates changed, the civil year always displayed its months in the order January to December from the Roman Republican period until the present.",What year did the Roman Republic use for dates?,consular year,16626
KU's School of Business launched interdisciplinary management science graduate studies in operations research during Fall Semester 1965. The program provided the foundation for decision science applications supporting NASA Project Apollo Command Capsule Recovery Operations.,Which government agency used the applications that were informed by KU's interdisciplinary management program?,NASA,16627
"Above the forestry, there is often a band of short pine trees (Pinus mugo), which is in turn superseded by Alpenrosen, dwarf shrubs, typically Rhododendron ferrugineum (on acid soils) or Rhododendron hirsutum (on alkaline soils). Although the Alpenrose prefers acidic soil, the plants are found throughout the region. Above the tree line is the area defined as ""alpine"" where in the alpine meadow plants are found that have adapted well to harsh conditions of cold temperatures, aridity, and high altitudes. The alpine area fluctuates greatly because of regional fluctuations in tree lines.",What is often above the forestry?,a band of short pine trees,16628
"In Australia, the formal ceremony of granting assent in parliament has not been regularly used since the early 20th century. Now, the bill is sent to the governor-general's residence by the house in which it originated. The governor-general then signs the bill, sending messages to the President of the Senate and the Speaker of the House of Representatives, who notify their respective houses of the governor-general's action. A similar practice is followed in New Zealand, where the governor-general has not personally granted the Royal Assent in parliament since 1875.",Who are the leaders of each house given the responsibility of informing their group of the governor-generals actions?,President of the Senate and the Speaker of the House of Representatives,16629
"Popper played a vital role in establishing the philosophy of science as a vigorous, autonomous discipline within philosophy, through his own prolific and influential works, and also through his influence on his own contemporaries and students. Popper founded in 1946 the Department of Philosophy, Logic and Scientific Method at the London School of Economics and there lectured and influenced both Imre Lakatos and Paul Feyerabend, two of the foremost philosophers of science in the next generation of philosophy of science. (Lakatos significantly modified Popper's position,:1 and Feyerabend repudiated it entirely, but the work of both is deeply influenced by Popper and engaged with many of the problems that Popper set.)",Where did Popper establish a university department for the philosophy of science in 1946?,London School of Economics,16630
"When home prices declined in the latter half of 2007 and the secondary mortgage market collapsed, IndyMac was forced to hold $10.7 billion of loans it could not sell in the secondary market. Its reduced liquidity was further exacerbated in late June 2008 when account holders withdrew $1.55 billion or about 7.5% of IndyMac's deposits. This “run” on the thrift followed the public release of a letter from Senator Charles Schumer to the FDIC and OTS. The letter outlined the Senator’s concerns with IndyMac. While the run was a contributing factor in the timing of IndyMac’s demise, the underlying cause of the failure was the unsafe and unsound manner in which the thrift was operated.",What was the underlying cause of the failure on IndyMac?,unsafe and unsound manner in which the thrift was operated,16631
"As in other major American cities in the postwar era, construction of an extensive highway and freeway system around Detroit and pent-up demand for new housing stimulated suburbanization; highways made commuting by car easier. In 1956, Detroit's last heavily used electric streetcar line along the length of Woodward Avenue was removed and replaced with gas-powered buses. It was the last line of what had once been a 534-mile network of electric streetcars. In 1941 at peak times, a streetcar ran on Woodward Avenue every 60 seconds.",What made car travel much easier?,highways,16632
"Free ISPs are Internet service providers that provide service free of charge. Many free ISPs display advertisements while the user is connected; like commercial television, in a sense they are selling the user's attention to the advertiser. Other free ISPs, sometimes called freenets, are run on a nonprofit basis, usually with volunteer staff.[citation needed]",What do free ISPs display in exchange for service?,advertisements,16633
"Yale seniors at graduation smash clay pipes underfoot to symbolize passage from their ""bright college years,"" though in recent history the pipes have been replaced with ""bubble pipes"". (""Bright College Years,"" the University's alma mater, was penned in 1881 by Henry Durand, Class of 1881, to the tune of Die Wacht am Rhein.) Yale's student tour guides tell visitors that students consider it good luck to rub the toe of the statue of Theodore Dwight Woolsey on Old Campus. Actual students rarely do so. In the second half of the 20th century Bladderball, a campus-wide game played with a large inflatable ball, became a popular tradition but was banned by administration due to safety concerns. In spite of administration opposition, students revived the game in 2009, 2011, and 2014, but its future remains uncertain.","What game was created, to later be banned by administration?",Bladderball,16634
"Executives at Trump Entertainment Resorts, whose sole remaining property will be the Trump Taj Mahal, said in 2013 that they were considering the option of selling the Taj and winding down and exiting the gaming and hotel business.",In what year did executives at Trump Entertainment Group say they were considering selling the Taj?,2013,16635
"General gymnastics enables people of all ages and abilities to participate in performance groups of 6 to more than 150 athletes. They perform synchronized, choreographed routines. Troupes may consist of both genders and are not separated into age divisions. The largest general gymnastics exhibition is the quadrennial World Gymnaestrada which was first held in 1939. In 1984 Gymnastics for All was officially recognized first as a Sport Program by the FIG (International Gymnastic Federation), and subsequently by national gymnastic federations worldwide with participants that now number 30 million.",How many participants are there?,30 million,16636
"Burke was a leading sceptic with respect to democracy. While admitting that theoretically, in some cases it might be desirable, he insisted a democratic government in Britain in his day would not only be inept, but also oppressive. He opposed democracy for three basic reasons. First, government required a degree of intelligence and breadth of knowledge of the sort that occurred rarely among the common people. Second, he thought that if they had the vote, common people had dangerous and angry passions that could be aroused easily by demagogues; he feared that the authoritarian impulses that could be empowered by these passions would undermine cherished traditions and established religion, leading to violence and confiscation of property. Third, Burke warned that democracy would create a tyranny over unpopular minorities, who needed the protection of the upper classes.",What type of impulses did Burke think could gain power through commoners' passions?,authoritarian,16637
"Health care and emergency medical service in the city of Paris and its suburbs are provided by the Assistance publique - Hôpitaux de Paris (AP-HP), a public hospital system that employs more than 90,000 people (including practitioners, support personnel, and administrators) in 44 hospitals. It is the largest hospital system in Europe. It provides health care, teaching, research, prevention, education and emergency medical service in 52 branches of medicine. The hospitals receive more than 5.8 million annual patient visits.",Who provides emergency care in the city of Paris?,Assistance publique - Hôpitaux de Paris,16638
"Though Brazilians of at least partial African heritage make up a large percentage of the population, few blacks have been elected as politicians. The city of Salvador, Bahia, for instance, is 80% people of color, but voters have not elected a mayor of color. Journalists like to say that US cities with black majorities, such as Detroit and New Orleans, have not elected white mayors since after the civil rights movement, when the Voting Rights Act of 1965 protected the franchise for minorities, and blacks in the South regained the power to vote for the first time since the turn of the 20th century. New Orleans elected its first black mayor in the 1970s. New Orleans elected a white mayor after the widescale disruption and damage of Hurricane Katrina in 2005.",What large hurricane hit New Orleans?,Hurricane Katrina,16639
"Some organisms, such as the lichen Trapelia involuta or microorganisms such as the bacterium Citrobacter, can absorb concentrations of uranium that are up to 300 times the level of their environment. Citrobacter species absorb uranyl ions when given glycerol phosphate (or other similar organic phosphates). After one day, one gram of bacteria can encrust themselves with nine grams of uranyl phosphate crystals; this creates the possibility that these organisms could be used in bioremediation to decontaminate uranium-polluted water. The proteobacterium Geobacter has also been shown to bioremediate uranium in ground water. The mycorrhizal fungus Glomus intraradices increases uranium content in the roots of its symbiotic plant.",What fungus is known to cause uranium content in its symbiotic plant roots to increase?,Glomus intraradices,16640
"The organ was built by Harrison & Harrison in 1937, then with four manuals and 84 speaking stops, and was used for the first time at the coronation of King George VI. Some pipework from the previous Hill organ of 1848 was revoiced and incorporated in the new scheme. The two organ cases, designed in the late 19th century by John Loughborough Pearson, were re-instated and coloured in 1959.",When was the organ first used?,the coronation of King George VI,16641
"In 1896, Eugen Baumann observed iodine in thyroid glands. In 1897, Christiaan Eijkman worked with natives of Java, who also suffered from beriberi. Eijkman observed that chickens fed the native diet of white rice developed the symptoms of beriberi but remained healthy when fed unprocessed brown rice with the outer bran intact. Eijkman cured the natives by feeding them brown rice, discovering that food can cure disease. Over two decades later, nutritionists learned that the outer rice bran contains vitamin B1, also known as thiamine.",What group of natives suffered from beriberi?,Java,16642
"Louis' advisors believed that, as long as Strasbourg remained independent, it would endanger the King's newly annexed territories in Alsace, and, that to defend these large rural lands effectively, a garrison had to be placed in towns such as Strasbourg. Indeed, the bridge over the Rhine at Strasbourg had been used repeatedly by Imperial (Holy Roman Empire) forces, and three times during the Franco-Dutch War Strasbourg had served as a gateway for Imperial invasions into Alsace. In September 1681 Louis' forces, though lacking a clear casus belli, surrounded the city with overwhelming force. After some negotiation, Louis marched into the city unopposed on 30 September 1681 and proclaimed its annexation.",How many times was the Rhines bridge used during the Franco-Dutch War?,three,16643
"As of the census of 2000, there were 197,790 people, 84,549 households, and 43,627 families residing in the city. The population density was 3,292.6 people per square mile (1,271.3/km²). There were 92,282 housing units at an average density of 1,536.2 per square mile (593.1/km²). The racial makeup of the city was 38.3% White, 57.2% African American, 0.2% Native American, 1.3% Asian, 0.1% Pacific Islander, 1.5% from other races, and 1.5% from two or more races. Hispanic or Latino of any race were 2.6% of the population.","As of 2000, how many people lived in Richmond per square kilometer?","1,271.3",16644
"On October 31, 2013, after outcry from media outlets, including heavy criticism  from Nick Bilton of The New York Times, the FAA announced it will allow airlines to expand the passengers use of portable electronic devices during all phases of flight, but mobile phone calls will still be prohibited. Implementation will vary among airlines. The FAA expects many carriers to show that their planes allow passengers to safely use their devices in airplane mode, gate-to-gate, by the end of 2013. Devices must be held or put in the seat-back pocket during the actual takeoff and landing. Mobile phones must be in airplane mode or with mobile service disabled, with no signal bars displayed, and cannot be used for voice communications due to Federal Communications Commission regulations that prohibit any airborne calls using mobile phones. If an air carrier provides Wi-Fi service during flight, passengers may use it. Short-range Bluetooth accessories, like wireless keyboards, can also be used.",When did the FAA decide to expand passengers use of portable elctronic devices during all phases of flight?,"October 31, 2013",16645
"The causes of the Franco-Prussian War are deeply rooted in the events surrounding the unification of Germany. In the aftermath of the Austro–Prussian War of 1866, Prussia had annexed numerous territories and formed the North German Confederation. This new power destabilized the European balance of power established by the Congress of Vienna in 1815 after the Napoleonic Wars. Napoleon III, then the emperor of France, demanded compensations in Belgium and on the left bank of the Rhine to secure France's strategic position, which the Prussian chancellor, Otto von Bismarck, flatly refused. Prussia then turned its attention towards the south of Germany, where it sought to incorporate the southern German kingdoms, Bavaria, Württemberg, Baden and Hesse-Darmstadt, into a unified Prussia-dominated Germany. France was strongly opposed to any further alliance of German states, which would have significantly strengthened the Prussian military.","As Prussia sought to incorporated several German kingdoms, what stance did France assume?",strongly opposed to any further alliance of German states,16646
"The most popular spectator sports in Israel are association football and basketball. The Israeli Premier League is the country's premier football league, and the Israeli Basketball Super League is the premier basketball league. Maccabi Haifa, Maccabi Tel Aviv, Hapoel Tel Aviv and Beitar Jerusalem are the largest sports clubs. Maccabi Tel Aviv, Maccabi Haifa and Hapoel Tel Aviv have competed in the UEFA Champions League and Hapoel Tel Aviv reached the UEFA Cup quarter-finals. Maccabi Tel Aviv B.C. has won the European championship in basketball six times.",What is the country's premier football league?,Israeli Premier League,16647
"The creation of the Federal Republic of Germany in 1949 was through the unification of the western states (which were previously under American, British, and French administration) created in the aftermath of World War II. Initially, in 1949, the states of the Federal Republic were Baden, Bavaria (in German: Bayern), Bremen, Hamburg, Hesse (Hessen), Lower Saxony (Niedersachsen), North Rhine Westphalia (Nordrhein-Westfalen), Rhineland-Palatinate (Rheinland-Pfalz), Schleswig-Holstein, Württemberg-Baden, and Württemberg-Hohenzollern. West Berlin, while officially not part of the Federal Republic, was largely integrated and considered as a de facto state.",Which city was originally not a part of the Federal Republic of Germany?,West Berlin,16648
"Public schools are part of the Ann Arbor Public Schools (AAPS) district. AAPS has one of the country's leading music programs. In September 2008, 16,539 students had been enrolled in the Ann Arbor Public Schools. There were 21 elementary schools, five middle schools (Forsythe, Slauson, Tappan, Scarlett, and Clague) three traditional high schools (Pioneer, Huron, and Skyline), and three alternative high schools (Community High, Stone School, and Roberto Clemente) in the district. The district also operates a K-8 open school program, Ann Arbor Open School, out of the former Mack School. This program is open to all families who live within the district. Ann Arbor Public Schools also operates a preschool and family center, with programs for at-risk infants and children before kindergarten. The district has a preschool center with both free and tuition-based programs for preschoolers in the district.",What program is open to the residents of Ann arbor?,Ann Arbor Open School,16649
"There have been two major trends in the changing status of pet dogs. The first has been the 'commodification' of the dog, shaping it to conform to human expectations of personality and behaviour. The second has been the broadening of the concept of the family and the home to include dogs-as-dogs within everyday routines and practices.","The idea of what constitutes a family, from the human perspective, has enlarged to include what?",dogs.,16650
"To determine what information in an audio signal is perceptually irrelevant, most lossy compression algorithms use transforms such as the modified discrete cosine transform (MDCT) to convert time domain sampled waveforms into a transform domain. Once transformed, typically into the frequency domain, component frequencies can be allocated bits according to how audible they are. Audibility of spectral components calculated using the absolute threshold of hearing and the principles of simultaneous masking—the phenomenon wherein a signal is masked by another signal separated by frequency—and, in some cases, temporal masking—where a signal is masked by another signal separated by time. Equal-loudness contours may also be used to weight the perceptual importance of components. Models of the human ear-brain combination incorporating such effects are often called psychoacoustic models.",What may be used to weight the importance of components?,Equal-loudness contours,16651
"In addition to Virginia and Confederate government offices and hospitals, a railroad hub, and one of the South's largest slave markets, Richmond had the largest factory in the Confederacy, the Tredegar Iron Works, which turned out artillery and other munitions, including the 723 tons of armor plating that covered the CSS Virginia, the world's first ironclad used in war, as well as much of the Confederates' heavy ordnance machinery. The Confederate Congress shared quarters with the Virginia General Assembly in the Virginia State Capitol, with the Confederacy's executive mansion, the ""White House of the Confederacy"", located two blocks away. The Seven Days Battles followed in late June and early July 1862, during which Union General McClellan threatened to take Richmond but ultimately failed.",What was the name of the first ironclad warship that saw combat?,CSS Virginia,16652
"Over the course of the 20th century, the world's per-capita gross domestic product grew by a factor of five, much more than all earlier centuries combined (including the 19th with its Industrial Revolution). Many economists make the case that this understates the magnitude of growth, as many of the goods and services consumed at the end of the 20th century, such as improved medicine (causing world life expectancy to increase by more than two decades) and communications technologies, were not available at any price at its beginning. However, the gulf between the world's rich and poor grew wider, and the majority of the global population remained in the poor side of the divide.",What happened to the income gap between the rich and the poor?,the gulf between the world's rich and poor grew wider,16653
"On the recovery side of the flight deck, the adaptation to the aircraft loadout is mirrored. Non-VTOL or conventional aircraft cannot decelerate on their own, and almost all carriers using them must have arrested-recovery systems (-BAR, e.g. CATOBAR or STOBAR) to recover their aircraft. Aircraft that are landing extend a tailhook that catches on arrestor wires stretched across the deck to bring themselves to a stop in a short distance. Post-WWII Royal Navy research on safer CATOBAR recovery eventually led to universal adoption of a landing area angled off axis to allow aircraft who missed the arresting wires to ""bolt"" and safely return to flight for another landing attempt rather than crashing into aircraft on the forward deck.",What does a landing area angles off access allow an aircraft to do if if misses the arresting wires?,bolt,16654
"The redevelopment of the city was planned by Sir Patrick Abercrombie in his 1943 Plan for Plymouth whilst simultaneously working on the reconstruction plan for London. Between 1951 and 1957 over 1000 homes were completed every year mostly using innovative prefabricated systems of just three main types; by 1964 over 20,000 new homes had been built transforming the dense overcrowded and unsanitary slums of the pre-war city into a low density, dispersed suburbia. Most of the city centre shops had been destroyed and those that remained were cleared to enable a zoned reconstruction according to his plan. In 1962 the modernist high rise of the Civic Centre was constructed, an architecturally significant example of mid twentieth century civic slab-and-tower set piece allowed to fall into disrepair by its owner Plymouth City Council but recently grade II listed by English Heritage to prevent its demolition.","In the period 1951-1957, how many new houses were constructed yearly in Plymouth?",over 1000,16655
"IBM announced it will launch its new software, called ""Open Client Offering"" which is to run on Linux, Microsoft Windows and Apple's Mac OS X. The company states that its new product allows businesses to offer employees a choice of using the same software on Windows and its alternatives. This means that ""Open Client Offering"" is to cut costs of managing whether to use Linux or Apple relative to Windows. There will be no necessity for companies to pay Microsoft for its licenses for operating systems since the operating systems will no longer rely on software which is Windows-based. One alternative to Microsoft's office document formats is the Open Document Format software, whose development IBM supports. It is going to be used for several tasks like: word processing, presentations, along with collaboration with Lotus Notes, instant messaging and blog tools as well as an Internet Explorer competitor – the Mozilla Firefox web browser. IBM plans to install Open Client on 5% of its desktop PCs. The Linux offering has been made available as the IBM Client for Smart Work product on the Ubuntu and Red Hat Enterprise Linux platforms.",What is an alternative to the Office document format from Microsoft?,Open Document Format software,16656
"As the capital of Uruguay, Montevideo is home to a number of festivals and carnivals including a Gaucho festival when people ride through the streets on horseback in traditional gaucho gear. The major annual festival is the annual Montevideo Carnaval which is part of the national festival of Carnival Week, celebrated throughout Uruguay, with central activities in the capital, Montevideo. Officially, the public holiday lasts for two days on Carnival Monday and Shrove Tuesday preceding Ash Wednesday, but due to the prominence of the festival, most shops and businesses close for the entire week. During carnival there are many open-air stage performances and competitions and the streets and houses are vibrantly decorated. ""Tablados"" or popular scenes, both fixed and movable, are erected in the whole city. Notable displays include ""Desfile de las Llamadas"" (""Parade of the Calls""), which is a grand united parade held on the south part of downtown, where it used to be a common ritual back in the early 20th century. Due to the scale of the festival, preparation begins as early as December with an election of the ""zonal beauty queens"" to appear in the carnival.",What is the annual Montevideo Carnaval part of?,the national festival of Carnival Week,16657
"Before the formation of the Third Coalition, Napoleon had assembled an invasion force, the Armée d'Angleterre, around six camps at Boulogne in Northern France. He intended to use this invasion force to strike at England. They never invaded, but Napoleon's troops received careful and invaluable training for future military operations. The men at Boulogne formed the core for what Napoleon later called La Grande Armée. At the start, this French army had about 200,000 men organized into seven corps, which were large field units that contained 36 to 40 cannons each and were capable of independent action until other corps could come to the rescue. A single corps properly situated in a strong defensive position could survive at least a day without support, giving the Grande Armée countless strategic and tactical options on every campaign. On top of these forces, Napoleon created a cavalry reserve of 22,000 organized into two cuirassier divisions, four mounted dragoon divisions, one division of dismounted dragoons, and one of light cavalry, all supported by 24 artillery pieces. By 1805, the Grande Armée had grown to a force of 350,000 men, who were well equipped, well trained, and led by competent officers.",How many men were in the Grande Armée by 1805?,"350,000",16658
"Aristotle of Stagira, the most important disciple of Plato, shared with his teacher the title of the greatest philosopher of antiquity. But while Plato had sought to elucidate and explain things from the supra-sensual standpoint of the forms, his pupil preferred to start from the facts given us by experience. Except from these three most significant Greek philosophers other known schools of Greek philosophy from other founders during ancient times were Stoicism, Epicureanism, Skepticism and Neoplatonism.",Which disciple of Plato was considered the most important?,Aristotle of Stagira,16659
"During the Napoleonic Occupation of Spain, Miguel Hidalgo y Costilla, a Catholic priest of progressive ideas, declared Mexican independence in the small town of Dolores, Guanajuato on September 16, 1810 with a proclamation known as the ""Grito de Dolores"". Hidalgo built a large support among intellectuals, liberal priests and many poor people. Hidalgo fought to protect the rights of the poor and indigenous population. He started on a march to the capital, Mexico City, but retreated back north when faced with the elite of the royal forces at the outskirts of the capital. He established a liberal government from Guadalajara, Jalisco but was soon forced to flee north by the royal forces that recaptured the city. Hidalgo attempted to reach the United States and gain American support for Mexican independence. HIdalgo reached Saltillo, Coahuila where he publicly resigned his military post and rejected a pardon offered by Viceroy Francisco Venegas in return for Hidalgo's surrender. A short time later, he and his supporters were captured by royalist Ignacio Elizondo at the Wells of Baján (Norias de Baján) on March 21, 1811 and taken to the city of Chihuahua. Hidalgo forced the Bishop of Valladolid, Manuel Abad y Queipo, to rescind the excommunication order he had circulated against him on September 24, 1810. Later, the Inquisition issued an excommunication edict on October 13, 1810 condemning Miguel Hidalgo as a seditionary, apostate, and heretic.",What was the name of the royalist who captured Hidalgo?,Ignacio Elizondo,16660
"People of Ashkenazi descent constitute around 47.5% of Israeli Jews (and therefore 35–36% of Israelis). They have played a prominent role in the economy, media, and politics of Israel since its founding. During the first decades of Israel as a state, strong cultural conflict occurred between Sephardic and Ashkenazi Jews (mainly east European Ashkenazim). The roots of this conflict, which still exists to a much smaller extent in present-day Israeli society, are chiefly attributed to the concept of the ""melting pot"". That is to say, all Jewish immigrants who arrived in Israel were strongly encouraged to ""melt down"" their own particular exilic identities within the general social ""pot"" in order to become Israeli.","When Israel was in its infancy as a state, there were cultural conflicts between which two groups?",Sephardic and Ashkenazi Jews,16661
"In 1933, von Neumann was offered a lifetime professorship on the faculty of the Institute for Advanced Study when the institute's plan to appoint Hermann Weyl fell through. He remained a mathematics professor there until his death, although he announced that shortly before his intention to resign and become a professor at large at the University of California. His mother, brothers and in-laws followed John to the United States in 1939. Von Neumann anglicized his first name to John, keeping the German-aristocratic surname of von Neumann. His brothers changed theirs to ""Neumann"" and ""Vonneumann"". Von Neumann became a naturalized citizen of the United States in 1937, and immediately tried to become a lieutenant in the United States Army's Officers Reserve Corps. He passed the exams easily, but was ultimately rejected because of his age. His prewar analysis is often quoted. Asked about how France would stand up to Germany he said ""Oh, France won't matter.""",In what year did Von Neumann become a naturalized citizen of US?,1937,16662
"During the period of the Napoleonic Wars, the East India Company arranged for letters of marque for its vessels such as the Lord Nelson. This was not so that they could carry cannon to fend off warships, privateers and pirates on their voyages to India and China (that they could do without permission) but so that, should they have the opportunity to take a prize, they could do so without being guilty of piracy. Similarly, the Earl of Mornington, an East India Company packet ship of only six guns, also sailed under a letter of marque.",Why did EIC want tthe letters of marque most?,"should they have the opportunity to take a prize, they could do so without being guilty of piracy",16663
"In some countries anti-Masonry is often related to antisemitism and anti-Zionism. For example, In 1980, the Iraqi legal and penal code was changed by Saddam Hussein's ruling Ba'ath Party, making it a felony to ""promote or acclaim Zionist principles, including Freemasonry, or who associate [themselves] with Zionist organisations"". Professor Andrew Prescott of the University of Sheffield writes: ""Since at least the time of the Protocols of the Elders of Zion, antisemitism has gone hand in hand with anti-masonry, so it is not surprising that allegations that 11 September was a Zionist plot have been accompanied by suggestions that the attacks were inspired by a masonic world order"".","In some countries, anti-Masonry is related to what?",antisemitism and anti-Zionism,16664
"Cycling is popular in Tucson due to its flat terrain and dry climate. Tucson and Pima County maintain an extensive network of marked bike routes, signal crossings, on-street bike lanes, mountain-biking trails, and dedicated shared-use paths. The Loop is a network of seven linear parks comprising over 100 mi (160 km) of paved, vehicle-free trails that encircles the majority of the city with links to Marana and Oro Valley. The Tucson-Pima County Bicycle Advisory Committee (TPCBAC) serves in an advisory capacity to local governments on issues relating to bicycle recreation, transportation, and safety. Tucson was awarded a gold rating for bicycle-friendliness by the League of American Bicyclists in 2006.",Why is cycling popular in Tucson?,its flat terrain and dry climate,16665
"A generation later, the Irish Anglican bishop, George Berkeley (1685–1753), determined that Locke's view immediately opened a door that would lead to eventual atheism. In response to Locke, he put forth in his Treatise Concerning the Principles of Human Knowledge (1710) an important challenge to empiricism in which things only exist either as a result of their being perceived, or by virtue of the fact that they are an entity doing the perceiving. (For Berkeley, God fills in for humans by doing the perceiving whenever humans are not around to do it.) In his text Alciphron, Berkeley maintained that any order humans may see in nature is the language or handwriting of God. Berkeley's approach to empiricism would later come to be called subjective idealism.",Who wrote 'Treatise Concerning the Principles of Human Knowledge'?,George Berkeley,16666
"Spanish colonization commenced on June 15, 1668 with the arrival of Diego Luis de San Vitores and Pedro Calungsod, who established the first Catholic church.:64 The islands were part of the Spanish East Indies governed from the Philippines, which were in turn part of the Viceroyalty of New Spain based in Mexico City. Other reminders of colonial times include the old Governor's Palace in Plaza de España and the Spanish Bridge, both in Hagatña. Guam's Cathedral Dulce Nombre de Maria was formally opened on February 2, 1669, as was the Royal College of San Juan de Letran.:68 Guam, along with the rest of the Mariana and Caroline Islands, were treated as part of Spain's colony in the Philippines. While Guam's Chamorro culture has indigenous roots, the cultures of both Guam and the Northern Marianas have many similarities with Spanish and Mexican culture due to three centuries of Spanish rule.",When did Spanish colonization commence?,"June 15, 1668",16667
"He assumed duties again at Camp Meade, Maryland, commanding a battalion of tanks, where he remained until 1922. His schooling continued, focused on the nature of the next war and the role of the tank in it. His new expertise in tank warfare was strengthened by a close collaboration with George S. Patton, Sereno E. Brett, and other senior tank leaders. Their leading-edge ideas of speed-oriented offensive tank warfare were strongly discouraged by superiors, who considered the new approach too radical and preferred to continue using tanks in a strictly supportive role for the infantry. Eisenhower was even threatened with court martial for continued publication of these proposed methods of tank deployment, and he relented.",What was the traditional doctrine on the use of tanks?,supportive role for the infantry,16668
"Seen in its wider social context, Greek Revival architecture sounded a new note of sobriety and restraint in public buildings in Britain around 1800 as an assertion of nationalism attendant on the Act of Union, the Napoleonic Wars, and the clamour for political reform. It was to be William Wilkins's winning design for the public competition for Downing College, Cambridge that announced the Greek style was to be the dominant idiom in architecture. Wilkins and Robert Smirke went on to build some of the most important buildings of the era, including the Theatre Royal, Covent Garden (1808–09), the General Post Office (1824–29) and the British Museum (1823–48), Wilkins University College London (1826–30) and the National Gallery (1832–38). In Scotland, Thomas Hamilton (1784–1858), in collaboration with the artists Andrew Wilson (1780–1848) and Hugh William Williams (1773–1829) created monuments and buildings of international significance; the Burns Monument at Alloway (1818) and the (Royal) High School in Edinburgh (1823–29).",When was the National Gallery constructed?,1832–38,16669
"Arsenal was the first club from the south of England to join The Football League, in 1893. They entered the First Division in 1904, and have since accumulated the second most points. Relegated only once, in 1913, they continue the longest streak in the top division. In the 1930s, Arsenal won five League Championships and two FA Cups, and another FA Cup and two Championships after the war. In 1970–71, they won their first League and FA Cup Double. Between 1988 and 2005, they won five League titles and five FA Cups, including two more Doubles. They completed the 20th century with the highest average league position.",In what year did Arsenal join The Football League?,1893,16670
"The Early Cretaceous spans from 145 million to 100 million years ago. The Early Cretaceous saw the expansion of seaways, and as a result, the decline and extinction of sauropods (except in South America). Many coastal shallows were created, and that caused Ichthyosaurs to die out. Mosasaurs evolved to replace them as head of the seas. Some island-hopping dinosaurs, like Eustreptospondylus, evolved to cope with the coastal shallows and small islands of ancient Europe. Other dinosaurs rose up to fill the empty space that the Jurassic-Cretaceous extinction left behind, such as Carcharodontosaurus and Spinosaurus. Of the most successful would be the Iguanodon which spread to every continent. Seasons came back into effect and the poles got seasonally colder, but dinosaurs still inhabited this area like the Leaellynasaura which inhabited the polar forests year-round, and many dinosaurs migrated there during summer like Muttaburrasaurus. Since it was too cold for crocodiles, it was the last stronghold for large amphibians, like Koolasuchus. Pterosaurs got larger as species like Tapejara and Ornithocheirus evolved.",What species died out due to the expansion of coastal shallows?,Ichthyosaurs,16671
"Because of its neutrality, Yugoslavia would often be rare among Communist countries to have diplomatic relations with right-wing, anti-Communist governments. For example, Yugoslavia was the only communist country allowed to have an embassy in Alfredo Stroessner's Paraguay. One notable exception to Yugoslavia's neutral stance toward anti-communist countries was Chile under Pinochet; Yugoslavia was one of many countries which severed diplomatic relations with Chile after Salvador Allende was overthrown. Yugoslavia also provided military aid and arms supplies to staunchly anti-Communist regimes such as that of Guatemala under Kjell Eugenio Laugerud García.",Who did Pinochet overthrow?,Allende,16672
"Carthage never recovered militarily after the Second Punic War, but quickly economically and the Third Punic War that followed was in reality a simple punitive mission after the neighbouring Numidians allied to Rome robbed/attacked Carthaginian merchants. Treaties had forbidden any war with Roman allies, and defense against robbing/pirates was considered as ""war action"": Rome decided to annihilate the city of Carthage. Carthage was almost defenceless, and submitted when besieged. However, the Romans demanded complete surrender and moval of the city into the (desert) inland far off any coastal or harbour region, and the Carthaginians refused. The city was besieged, stormed, and completely destroyed. Ultimately, all of Carthage's North African and Iberian territories were acquired by Rome. Note that ""Carthage"" was not an 'empire', but a league of punic colonies (port cities in the western mediterranean) like the 1st and 2nd Athenian (""attic"") leagues, under leadership of Carthage. Punic Carthago was gone, but the other punic cities in the western mediterranean flourished under Roman rule.",Who did the Numidians form an alliance with?,Rome,16673
